job_id,stage,batch_size,block_ms_per_batch_step,calibration_multiplication_included,family,fitted_global_multiplier_count,grid,kind,max_ms_per_batch_step,median_ms_per_batch_step,min_ms_per_batch_step,parameter_count,parameter_count_convention,prior,timing_source,weights
development__ks__coefficient,development,1,"[0.63459225, 0.62638285, 0.62618855, 0.63083305, 0.6385637]",False,ks,0,32,fno,0.6385637,0.63083305,0.62618855,209985,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__ks__correct,development,1,"[0.49933225, 0.50907985, 0.5151766, 0.5438462, 0.499835]",False,ks,0,32,physics_uncalibrated,0.5438462,0.50907985,0.49933225,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__ks__correct,development,1,"[0.53835545, 0.49895415, 0.52125375, 0.4980999, 0.51570085]",True,ks,3,32,physics_calibrated,0.53835545,0.51570085,0.4980999,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__ks__correct,development,1,"[1.0646858, 1.08240595, 1.06287055, 1.1185889, 1.0870013]",False,ks,0,32,transformer,1.1185889,1.08240595,1.06287055,100993,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__ks__correct,development,1,"[1.07844445, 1.0680708, 1.0653798, 1.05186895, 1.06318755]",False,ks,0,32,looped,1.07844445,1.0653798,1.05186895,34049,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__ks__correct,development,1,"[0.63522115, 0.6424946, 0.6210864, 0.64811155, 0.62495425]",False,ks,0,32,fno,0.64811155,0.63522115,0.6210864,209985,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__wave__coefficient,development,1,"[0.2301813, 0.24523945, 0.23407765, 0.2387467, 0.2258498]",False,wave,0,32,physics_uncalibrated,0.24523945,0.23407765,0.2258498,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__wave__coefficient,development,1,"[0.2375604, 0.22667705, 0.2442745, 0.2305213, 0.2412279]",True,wave,3,32,physics_calibrated,0.2442745,0.2375604,0.22667705,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__wave__coefficient,development,1,"[1.0806698, 1.09078405, 1.06487155, 1.06346945, 1.0944005]",False,wave,0,32,transformer,1.0944005,1.0806698,1.06346945,101122,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__wave__coefficient,development,1,"[1.0581635, 1.07940495, 1.0748711, 1.05929815, 1.07244545]",False,wave,0,32,looped,1.07940495,1.07244545,1.0581635,34178,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
