stage,grid,family,prior,kind,arm,split,horizon,n_seeds,n_trajectories,mean_nmse,ci95_low,ci95_high,normalized_rmse,mean_training_validation_seconds,fixed_choice_setup_train_bank_seconds,median_inference_ms_per_step
development,32,advection_diffusion,correct,fno,smooth,ood,96,6,64,0.05644289667908523,0.03769086604800566,0.07857179750116138,0.23757713837632868,41.77893476296837,43.19431246646369,1.2501598452217877
development,32,advection_diffusion,correct,looped,iid,test,64,6,64,0.02671264922534315,0.0029986869897803228,0.08769885515048086,0.16344004780145882,69.99603867034118,71.41556914810401,1.5392183559015393
development,32,advection_diffusion,correct,looped,iid,test,96,6,64,0.866273604015928,0.0038322146470891414,2.9375673538842473,0.9307382038016534,69.99603867034118,71.41556914810401,1.5392183559015393
development,32,advection_diffusion,correct,looped,iid,ood,64,6,64,12.974816010720838,1.5767111030103775,29.827040041860283,3.602057191483894,69.99603867034118,71.41556914810401,1.5392183559015393
development,32,advection_diffusion,correct,looped,iid,ood,96,6,64,34.36667510460052,2.5342540102767623,80.8598747978206,5.8623097073253065,69.99603867034118,71.41556914810401,1.5392183559015393
development,32,advection_diffusion,correct,looped,none,test,64,6,64,0.12916480399682628,0.0034690859692499483,0.42288390639171647,0.3593950528274232,39.04703431444553,39.085240431207545,1.5399115975014865
development,32,advection_diffusion,correct,looped,none,test,96,6,64,4.0209885007981425,0.005080165340049689,12.784617291749553,2.0052402601180095,39.04703431444553,39.085240431207545,1.5399115975014865
development,32,advection_diffusion,correct,looped,none,ood,64,6,64,21.733231509564963,1.4356187969636005,46.07857510758461,4.661891409027559,39.04703431444553,39.085240431207545,1.5399115975014865
development,32,advection_diffusion,correct,looped,none,ood,96,6,64,50.43178745037054,2.0829313174132813,112.24822398645763,7.101534161740725,39.04703431444553,39.085240431207545,1.5399115975014865
development,32,advection_diffusion,correct,looped,response_matched,test,64,6,64,0.014824484388784845,0.003371539659518447,0.04332464395516858,0.12175583923896564,69.97939420336236,71.3990755409468,1.5375075512565672
development,32,advection_diffusion,correct,looped,response_matched,test,96,6,64,0.325956604248764,0.004392273935723453,1.173153395125411,0.5709260935084015,69.97939420336236,71.3990755409468,1.5375075512565672
