stage,grid,family,prior,kind,arm,split,horizon,n_seeds,n_trajectories,mean_nmse,ci95_low,ci95_high,normalized_rmse,mean_training_validation_seconds,fixed_choice_setup_train_bank_seconds,median_inference_ms_per_step
development,32,burgers,correct,transformer,smooth,test,64,6,64,0.005796979630184347,0.003728663535563752,0.008734679841397572,0.07613789877705024,73.78602075654392,76.86013833068621,1.5389379113912582
development,32,gray_scott,coefficient,fno,none,test,64,6,64,0.00044348240312426686,0.00034381996925192897,0.0005700161332823963,0.021059021893817073,25.045804808847606,25.080757798704628,1.2757554417476058
development,32,gray_scott,coefficient,fno,smooth,test,64,6,64,0.005444026896559521,0.003213525452126078,0.00853242574574118,0.07378364924940702,42.163343978502475,45.660141976860665,1.25428750179708
development,32,gray_scott,coefficient,looped,none,test,64,6,64,0.018285120352365708,0.014738567135070157,0.022440195364347715,0.13522248464055714,39.601634229766205,39.64029876437659,1.53174321167171
development,32,gray_scott,coefficient,looped,smooth,test,64,6,64,0.023428687306140932,0.019551900189474485,0.027933197106891853,0.15306432408024062,69.40323275273356,72.90358132620652,1.5334117226302624
development,32,gray_scott,coefficient,transformer,none,test,64,6,64,0.0168203597655275,0.013123205776694133,0.021397042974030642,0.1296933296878737,42.74332523493407,42.78603178813743,1.5238542458973825
development,32,gray_scott,coefficient,transformer,smooth,test,64,6,64,0.031127025338310743,0.02629784517045034,0.03664884792392881,0.17642852756374391,73.55562385567464,77.06042383098975,1.5240659471601248
development,32,gray_scott,correct,fno,none,test,64,6,64,0.0004434856750632372,0.0003438128485036161,0.0005700428061511418,0.021059099578643842,24.999767874833196,25.034792294260114,1.2483337195590138
development,32,gray_scott,correct,fno,smooth,test,64,6,64,0.00042400102816236965,0.0003166538057966414,0.0005562733353331318,0.02059128524794821,41.96917047887109,45.457594395925604,1.2532072374597192
development,32,gray_scott,correct,looped,none,test,64,6,64,0.01828511733519697,0.014738590694076903,0.02244012739339066,0.13522247348424363,39.37214013289971,39.41068594631118,1.5319807222113013
development,32,gray_scott,correct,looped,smooth,test,64,6,64,0.018146469799754133,0.014480432592666232,0.022062196266209783,0.13470883341397524,69.63023335735004,73.12205327216846,1.529782940633595
development,32,gray_scott,correct,transformer,none,test,64,6,64,0.016820524071875703,0.013123314405009903,0.021397499157413218,0.12969396312811057,43.113414487646274,43.15571585289823,1.5247316914610565
development,32,gray_scott,correct,transformer,smooth,test,64,6,64,0.018535818578545898,0.013882283997901748,0.024380781005168432,0.1361463131287289,72.71769380771245,76.21379967864293,1.524726243223995
development,32,ks,coefficient,fno,none,test,64,6,64,0.02701678990113454,0.013746094329818685,0.04828458695931495,0.16436784935362067,25.474661851922672,25.508863172183435,1.253801817074418
development,32,ks,coefficient,fno,smooth,test,64,6,64,0.10068325265073859,0.06441041602708993,0.14699605790917694,0.31730624426685744,41.385593929948904,44.592618029254176,1.275335787795484
development,32,ks,coefficient,looped,none,test,64,6,64,0.6417572968844559,0.3268437423549586,1.1420158862187983,0.8010975576572781,38.942994286616646,38.981424583354965,1.5680603450164199
development,32,ks,coefficient,looped,smooth,test,64,6,64,0.4444507062483954,0.356664818262897,0.5413601113371551,0.6666713630030882,68.98003031305659,72.1913958870961,1.5743931056931615
development,32,ks,coefficient,transformer,none,test,64,6,64,0.9422125910968019,0.5717281430673569,1.386850640178164,0.9706763575449862,43.20425667443002,43.2472209041783,1.5512355719693005
development,32,ks,coefficient,transformer,smooth,test,64,6,64,0.3283971585123659,0.25813729439423583,0.4046826022863684,0.5730594720553582,73.49937257356942,76.71464557868119,1.553008088376373
development,32,ks,correct,fno,none,test,64,6,64,0.027114328001445254,0.013685482407725155,0.048699475999177996,0.1646642887861398,24.868850124146167,24.9029763196595,1.2562355492264032
