stage,run_id,kind,arm,family,prior,split,horizon,nonfinite_steps,steps_above_cap,affected_trajectories,raw_mean_nmse
development,advection_diffusion__fno__coefficient__s606__none,fno,none,advection_diffusion,coefficient,test,64,0,0,0,0.0003140280913474097
development,advection_diffusion__fno__coefficient__s606__none,fno,none,advection_diffusion,coefficient,test,96,0,0,0,0.00037582407761757586
development,advection_diffusion__fno__coefficient__s606__none,fno,none,advection_diffusion,coefficient,ood,64,0,0,0,0.048390405516788304
development,advection_diffusion__fno__coefficient__s606__none,fno,none,advection_diffusion,coefficient,ood,96,0,0,0,0.07960593510567356
development,advection_diffusion__fno__coefficient__s606__response_matched,fno,response_matched,advection_diffusion,coefficient,test,64,0,0,0,0.001523865489118828
development,advection_diffusion__fno__coefficient__s606__response_matched,fno,response_matched,advection_diffusion,coefficient,test,96,0,0,0,0.002929151604348044
development,advection_diffusion__fno__coefficient__s606__response_matched,fno,response_matched,advection_diffusion,coefficient,ood,64,0,0,0,0.03076035702883395
development,advection_diffusion__fno__coefficient__s606__response_matched,fno,response_matched,advection_diffusion,coefficient,ood,96,0,0,0,0.05603885579745693
development,advection_diffusion__fno__coefficient__s606__smooth,fno,smooth,advection_diffusion,coefficient,test,64,0,0,0,0.002364811293705943
development,advection_diffusion__fno__coefficient__s606__smooth,fno,smooth,advection_diffusion,coefficient,test,96,0,0,0,0.0036727326618166876
development,advection_diffusion__fno__coefficient__s606__smooth,fno,smooth,advection_diffusion,coefficient,ood,64,0,0,0,0.0550112412817203
development,advection_diffusion__fno__coefficient__s606__smooth,fno,smooth,advection_diffusion,coefficient,ood,96,0,0,0,0.0848484971803328
development,advection_diffusion__fno__correct__s101__iid,fno,iid,advection_diffusion,correct,test,64,0,0,0,0.0002859699250271526
development,advection_diffusion__fno__correct__s101__iid,fno,iid,advection_diffusion,correct,test,96,0,0,0,0.0004426351243763232
development,advection_diffusion__fno__correct__s101__iid,fno,iid,advection_diffusion,correct,ood,64,0,0,0,0.004033651160619378
development,advection_diffusion__fno__correct__s101__iid,fno,iid,advection_diffusion,correct,ood,96,0,0,0,0.006278533498728459
development,advection_diffusion__fno__correct__s101__none,fno,none,advection_diffusion,correct,test,64,0,0,0,0.0005190673987746294
development,advection_diffusion__fno__correct__s101__none,fno,none,advection_diffusion,correct,test,96,0,0,0,0.0008766298792561253
development,advection_diffusion__fno__correct__s101__none,fno,none,advection_diffusion,correct,ood,64,0,0,0,0.009138861478738602
development,advection_diffusion__fno__correct__s101__none,fno,none,advection_diffusion,correct,ood,96,0,0,0,0.013632662475557944
development,advection_diffusion__fno__correct__s101__response_matched,fno,response_matched,advection_diffusion,correct,test,64,0,0,0,0.00015588576066460913
development,advection_diffusion__fno__correct__s101__response_matched,fno,response_matched,advection_diffusion,correct,test,96,0,0,0,0.00023116843226637468
development,advection_diffusion__fno__correct__s101__response_matched,fno,response_matched,advection_diffusion,correct,ood,64,0,0,0,0.028567815885823133
development,advection_diffusion__fno__correct__s101__response_matched,fno,response_matched,advection_diffusion,correct,ood,96,0,0,0,0.04875710037054255
development,advection_diffusion__fno__correct__s101__smooth,fno,smooth,advection_diffusion,correct,test,64,0,0,0,8.020147330900507e-05
development,advection_diffusion__fno__correct__s101__smooth,fno,smooth,advection_diffusion,correct,test,96,0,0,0,0.00011397042298355588
development,advection_diffusion__fno__correct__s101__smooth,fno,smooth,advection_diffusion,correct,ood,64,0,0,0,0.019737438550866515
development,advection_diffusion__fno__correct__s101__smooth,fno,smooth,advection_diffusion,correct,ood,96,0,0,0,0.03068723859367887
development,advection_diffusion__fno__correct__s202__iid,fno,iid,advection_diffusion,correct,test,64,0,0,0,0.00021798401358079367
development,advection_diffusion__fno__correct__s202__iid,fno,iid,advection_diffusion,correct,test,96,0,0,0,0.00030509365504374775
development,advection_diffusion__fno__correct__s202__iid,fno,iid,advection_diffusion,correct,ood,64,0,0,0,0.030254720805753532
development,advection_diffusion__fno__correct__s202__iid,fno,iid,advection_diffusion,correct,ood,96,0,0,0,0.04510434464476247
development,advection_diffusion__fno__correct__s202__none,fno,none,advection_diffusion,correct,test,64,0,0,0,0.00035551681889245054
development,advection_diffusion__fno__correct__s202__none,fno,none,advection_diffusion,correct,test,96,0,0,0,0.0004931100321569418
development,advection_diffusion__fno__correct__s202__none,fno,none,advection_diffusion,correct,ood,64,0,0,0,0.05231035736883882
development,advection_diffusion__fno__correct__s202__none,fno,none,advection_diffusion,correct,ood,96,0,0,0,0.07948085455709968
development,advection_diffusion__fno__correct__s202__response_matched,fno,response_matched,advection_diffusion,correct,test,64,0,0,0,0.00019330039586912262
development,advection_diffusion__fno__correct__s202__response_matched,fno,response_matched,advection_diffusion,correct,test,96,0,0,0,0.00027648995811013766
development,advection_diffusion__fno__correct__s202__response_matched,fno,response_matched,advection_diffusion,correct,ood,64,0,0,0,0.039253769990351906
development,advection_diffusion__fno__correct__s202__response_matched,fno,response_matched,advection_diffusion,correct,ood,96,0,0,0,0.056794319770827315
development,advection_diffusion__fno__correct__s202__smooth,fno,smooth,advection_diffusion,correct,test,64,0,0,0,8.978749548853651e-05
development,advection_diffusion__fno__correct__s202__smooth,fno,smooth,advection_diffusion,correct,test,96,0,0,0,0.0001291343367711163
development,advection_diffusion__fno__correct__s202__smooth,fno,smooth,advection_diffusion,correct,ood,64,0,0,0,0.03102888834634432
development,advection_diffusion__fno__correct__s202__smooth,fno,smooth,advection_diffusion,correct,ood,96,0,0,0,0.048669078145367944
development,advection_diffusion__fno__correct__s303__iid,fno,iid,advection_diffusion,correct,test,64,0,0,0,0.00022586738865324613
development,advection_diffusion__fno__correct__s303__iid,fno,iid,advection_diffusion,correct,test,96,0,0,0,0.00038241774435741893
development,advection_diffusion__fno__correct__s303__iid,fno,iid,advection_diffusion,correct,ood,64,0,0,0,0.059273090828282804
development,advection_diffusion__fno__correct__s303__iid,fno,iid,advection_diffusion,correct,ood,96,0,0,0,0.08818405190605816
development,advection_diffusion__fno__correct__s303__none,fno,none,advection_diffusion,correct,test,64,0,0,0,0.0002901508638015332
development,advection_diffusion__fno__correct__s303__none,fno,none,advection_diffusion,correct,test,96,0,0,0,0.00035045311070248475
development,advection_diffusion__fno__correct__s303__none,fno,none,advection_diffusion,correct,ood,64,0,0,0,0.07353592856136126
development,advection_diffusion__fno__correct__s303__none,fno,none,advection_diffusion,correct,ood,96,0,0,0,0.10168560878265875
development,advection_diffusion__fno__correct__s303__response_matched,fno,response_matched,advection_diffusion,correct,test,64,0,0,0,0.00021087139838335545
development,advection_diffusion__fno__correct__s303__response_matched,fno,response_matched,advection_diffusion,correct,test,96,0,0,0,0.00036853978996781445
development,advection_diffusion__fno__correct__s303__response_matched,fno,response_matched,advection_diffusion,correct,ood,64,0,0,0,0.053289418485347184
development,advection_diffusion__fno__correct__s303__response_matched,fno,response_matched,advection_diffusion,correct,ood,96,0,0,0,0.07868114618817756
development,advection_diffusion__fno__correct__s303__smooth,fno,smooth,advection_diffusion,correct,test,64,0,0,0,0.00017737514853174811
development,advection_diffusion__fno__correct__s303__smooth,fno,smooth,advection_diffusion,correct,test,96,0,0,0,0.00023432616542967571
development,advection_diffusion__fno__correct__s303__smooth,fno,smooth,advection_diffusion,correct,ood,64,0,0,0,0.060795086553145694
development,advection_diffusion__fno__correct__s303__smooth,fno,smooth,advection_diffusion,correct,ood,96,0,0,0,0.09241399792765274
development,advection_diffusion__fno__correct__s404__iid,fno,iid,advection_diffusion,correct,test,64,0,0,0,0.00020690811103754592
development,advection_diffusion__fno__correct__s404__iid,fno,iid,advection_diffusion,correct,test,96,0,0,0,0.0002895404972415583
development,advection_diffusion__fno__correct__s404__iid,fno,iid,advection_diffusion,correct,ood,64,0,0,0,0.03551088489395626
development,advection_diffusion__fno__correct__s404__iid,fno,iid,advection_diffusion,correct,ood,96,0,0,0,0.05680192414219487
development,advection_diffusion__fno__correct__s404__none,fno,none,advection_diffusion,correct,test,64,0,0,0,0.0003585674580624393
development,advection_diffusion__fno__correct__s404__none,fno,none,advection_diffusion,correct,test,96,0,0,0,0.0005579105990203559
development,advection_diffusion__fno__correct__s404__none,fno,none,advection_diffusion,correct,ood,64,0,0,0,0.12521737136887534
