stage,grid,family,prior,split,horizon,candidate_kind,candidate_arm,baseline_kind,baseline_arm,candidate_mean_nmse,baseline_mean_nmse,difference_nmse,difference_ci95_low,difference_ci95_high,ratio_of_arithmetic_means,ratio_ci95_low,ratio_ci95_high,interpretation,scope
development,32,advection_diffusion,coefficient,test,96,looped,iid,mechanistic,,0.5441895854204434,0.7447897696842862,-0.20060018426384285,-0.8315080480115274,1.0170016792138576,0.7306620036565801,0.014672537615294646,2.34021410523556,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,looped,iid,transformer,iid,0.5441895854204434,0.005758860334432934,0.5384307250860104,0.004559095601196264,1.7857857809565747,94.49605543768217,1.6997393104989036,351.4070154371577,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,looped,none,mechanistic,,21.733185064308703,0.5686829936930753,21.164502070615626,0.8718157894575878,45.485744781297456,38.2166959542285,2.4844220177499583,84.54465383729348,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,looped,none,transformer,none,21.733185064308703,1.1576989852044715,20.57548607910423,0.09556067908740493,45.05980698482413,18.772742605859857,1.0707420373954286,46.61153202802989,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,looped,none,mechanistic,,50.43172309530607,0.7019240169255561,49.72979907838051,1.3738801447536553,111.46995558434408,71.84783805546107,2.894788715187384,165.812703981172,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,looped,none,transformer,none,50.43172309530607,1.462410404479139,48.96931269082693,0.31872451871566704,110.97152955508395,34.48534210426938,1.180098903925593,94.73804696339232,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,looped,none,mechanistic,,0.12916381224012002,0.5313244237183632,-0.40216061147824317,-0.6030933109346065,-0.12126675723234645,0.24309782587480924,0.006444825682024685,0.7781679603590107,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,looped,none,transformer,none,0.12916381224012002,0.0026425709727570155,0.126521241267363,0.0007597820704494356,0.42051336732531713,48.87808636805027,1.2547867429565833,168.54119955654483,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,looped,none,mechanistic,,4.02097421098805,0.7447897696842862,3.276184441303764,-0.8384778485236675,12.008007284538449,5.398804299759013,0.006860533662048266,16.995932204019,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,looped,none,transformer,none,4.02097421098805,0.0038172295540544036,4.017156981433995,0.0008999915295074129,12.781270521785496,1053.3750077244483,1.20482708244332,3867.8268447842743,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,looped,response_matched,mechanistic,,9.180421777300467,0.5686829936930753,8.611738783607391,1.2244709673994172,22.16236604006033,16.14330282268867,3.1139369409250603,41.38798478281444,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,looped,response_matched,transformer,response_matched,9.180421777300467,1.2867876219691017,7.893634155331365,0.38483818865329217,21.216135505871204,7.134372153232374,1.2604986626102583,15.618326880295925,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,looped,response_matched,mechanistic,,24.53624236379753,0.7019240169255561,23.834318346871974,1.871001747573478,60.56801625394312,34.95569573365912,3.6235013204914805,90.76773182574684,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,looped,response_matched,transformer,response_matched,24.53624236379753,1.6637708274325511,22.87247153636498,0.8996138215261872,59.38936034800282,14.747369024170622,1.4994890486028942,33.701720954666825,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,looped,response_matched,mechanistic,,0.02188734691323857,0.5313244237183632,-0.5094370768051246,-0.6146308337570293,-0.4117312771242606,0.04119394090726065,0.014555303101626874,0.10583050888001354,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,looped,response_matched,transformer,response_matched,0.02188734691323857,0.005363435797302696,0.016523911115935874,0.002324740285214902,0.051872799933273435,4.080844395349311,1.4065012894011102,10.501224135549288,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,looped,response_matched,mechanistic,,0.6124283653209514,0.7447897696842862,-0.13236140436333488,-0.8335850870730109,1.2644716647651364,0.8222835359037727,0.014696422418884482,2.6959270016535593,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,looped,response_matched,transformer,response_matched,0.6124283653209514,0.0070622351911461155,0.6053661301298052,0.0037275333198910085,2.0432166073535285,86.71877227888832,1.4839290502411902,295.2397293999853,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,looped,smooth,mechanistic,,23.77547079901652,0.5686829936930753,23.206787805323444,2.2766623236178773,53.31230584538499,41.80795111282757,4.749751411447122,98.79124535637017,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,looped,smooth,transformer,smooth,23.77547079901652,1.1733013756955895,22.60216942332093,1.503859182575987,52.655766076149696,20.26373725584467,2.1016537577664844,46.662131626169575,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,looped,smooth,looped,none,23.77547079901652,21.733185064308703,2.042285734707818,-6.979681214679667,11.262201443050836,1.0939708436045925,0.6974202344134329,2.679509063380503,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,looped,smooth,mechanistic,,51.17059353386508,0.7019240169255561,50.46866951693953,3.728339143168622,117.55201215665393,72.90047398291556,5.9636858727652475,175.12424389796345,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,looped,smooth,transformer,smooth,51.17059353386508,1.4754495721238594,49.69514396174122,2.74646686356516,116.72975972483046,34.6813571271072,2.564740166841596,81.67404139720477,higher_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,looped,smooth,looped,none,51.17059353386508,50.43172309530607,0.7388704385590117,-12.32993859481723,12.126546421581718,1.014650906080736,0.7486968694377859,2.7706542601047888,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,looped,smooth,mechanistic,,0.6154627709056067,0.5313244237183632,0.08413834718724356,-0.5538522703457546,1.0979647755434534,1.1583558809482517,0.020660427435562064,3.0318300103708715,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
