stage,grid,family,prior,kind,arm,n_seeds,parameter_count,mean_training_validation_seconds,mean_setup_plus_training_plus_bank_seconds,median_inference_ms_per_step,min_inference_ms,max_inference_ms,latency_scope,cost_scope
development,32,allen_cahn,coefficient,fno,response_matched,6,209985,42.17218142383111,45.10113978626517,1.2430222006514668,1.2250595027580857,1.2652284931391478,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,coefficient,fno,smooth,6,209985,42.249166880501434,45.177906030711405,1.2522101984359324,1.2217029463499784,1.267828932031989,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,coefficient,looped,iid,6,34049,70.21883572288789,73.15220788920608,1.5392142231576145,1.5323704574257135,1.543311937712133,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,coefficient,looped,none,6,34049,38.45743158824431,38.49564117022479,1.579642458818853,1.5378379495814443,1.5858684433624148,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,coefficient,looped,response_matched,6,34049,69.89342529846665,72.82716873831426,1.5385342063382268,1.5340009471401572,1.5466829529032111,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,coefficient,looped,smooth,6,34049,69.91731476108544,72.85081668927644,1.5755006927065551,1.5207839896902442,1.6690399497747421,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,coefficient,transformer,iid,6,100993,73.28118235509221,76.21823070912312,1.5384624479338527,1.5294694574549794,1.567957946099341,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,coefficient,transformer,none,6,100993,42.638597640752174,42.6810622313836,1.532376476097852,1.5294329496100545,1.7238854663446546,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,coefficient,transformer,response_matched,6,100993,72.60890028827514,75.54609718879995,1.5312616946175694,1.517323451116681,1.5646694460883737,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,coefficient,transformer,smooth,6,100993,73.01240397834529,75.94950823214215,1.5370319713838398,1.5319609548896551,1.6433929558843374,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,fno,iid,6,209985,42.024380051065236,44.94385312350156,1.2436234625056386,1.2386519461870193,1.2936909915879369,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,fno,none,6,209985,25.01461238095847,25.048850260131683,1.255962229333818,1.2333905091509223,1.2836199486628175,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,fno,response_matched,6,209985,41.84448352696685,44.7639262622688,1.2604435090906918,1.2394239660352468,1.5183639945462346,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,fno,smooth,6,209985,41.734554222552106,44.6540730377504,1.244509732350707,1.240948447957635,1.2750174617394805,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,looped,iid,6,34049,70.14937950957876,73.07319082583611,1.5376577386632562,1.520104450173676,1.5668274369090796,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,looped,none,6,34049,38.82971056799094,38.868256478880845,1.539204001892358,1.5350884525105357,1.5449154423549771,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,looped,response_matched,6,34049,68.91778680806358,71.84220966673456,1.5388821950182319,1.5354714589193463,1.547755510546267,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,looped,smooth,6,34049,69.88395280018449,72.80796073268478,1.5408949460834265,1.5240814536809921,1.549209514632821,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,transformer,iid,6,100993,73.29804506346893,76.22563881551226,1.5369217260740697,1.5322109451517463,1.6181389335542917,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,transformer,none,6,100993,42.94276600400917,42.98502013863375,1.57662722049281,1.5535024460405111,1.6464939806610346,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,transformer,response_matched,6,100993,72.54323337902315,75.47071919745456,1.5397784882225096,1.5230949502438307,1.5635964926332235,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,allen_cahn,correct,transformer,smooth,6,100993,72.62630665434214,75.5537157941144,1.578070712275803,1.5335794538259506,1.6350754536688328,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,coefficient,fno,iid,6,209985,41.83530970608505,44.92205141973682,1.2587503297254443,1.2520990567281842,1.3602416031062603,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,coefficient,fno,none,6,209985,25.063914816748973,25.097965341992676,1.29736257949844,1.2390260584652424,1.348851597867906,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,burgers,coefficient,fno,response_matched,6,209985,41.867022273984425,44.95388159629268,1.307970064226538,1.25085455365479,1.3463206123560667,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
