family,kind,prior,seed,split,policy,selected_arm,estimated_training_seconds,selected_inference_ms_per_step
advection_diffusion,looped,coefficient,606,development_lofo,none,none,39.59921174682677,1.610389119014144
advection_diffusion,looped,coefficient,606,development_lofo,probe_best,response_matched,82.5571775524877,1.5377725940197706
advection_diffusion,looped,coefficient,606,development_lofo,random,iid,71.27793261315674,1.5371400862932205
advection_diffusion,looped,coefficient,606,development_lofo,ridge_selector,none,56.00814848113805,1.610389119014144
advection_diffusion,looped,coefficient,606,development_lofo,full_validation,none,247.09426324395463,1.610389119014144
advection_diffusion,looped,correct,101,development_lofo,always_smooth,smooth,71.9637211007066,1.5387466177344322
advection_diffusion,looped,correct,101,development_lofo,best_fixed,smooth,71.9637211007066,1.5387466177344322
advection_diffusion,looped,correct,101,development_lofo,hand_rule,none,42.494680335279554,1.5386071056127548
advection_diffusion,looped,correct,101,development_lofo,none,none,40.80290551111102,1.5386071056127548
advection_diffusion,looped,correct,101,development_lofo,probe_best,response_matched,85.21030692756176,1.5372460940852761
advection_diffusion,looped,correct,101,development_lofo,random,smooth,71.9637211007066,1.5387466177344322
advection_diffusion,looped,correct,101,development_lofo,ridge_selector,none,58.64269548142329,1.5386071056127548
advection_diffusion,looped,correct,101,development_lofo,full_validation,iid,252.4994860170409,1.5259560896083713
advection_diffusion,looped,correct,202,development_lofo,always_smooth,smooth,70.69791918620467,1.5379760414361954
advection_diffusion,looped,correct,202,development_lofo,best_fixed,smooth,70.69791918620467,1.5379760414361954
advection_diffusion,looped,correct,202,development_lofo,hand_rule,none,40.674581941682845,1.5459411079064012
advection_diffusion,looped,correct,202,development_lofo,none,none,39.3653291426599,1.5459411079064012
advection_diffusion,looped,correct,202,development_lofo,probe_best,none,55.41759382095188,1.5459411079064012
advection_diffusion,looped,correct,202,development_lofo,random,response_matched,70.088750960771,1.5432100975885987
advection_diffusion,looped,correct,202,development_lofo,ridge_selector,none,55.41759382095188,1.5459411079064012
advection_diffusion,looped,correct,202,development_lofo,full_validation,none,248.11100125079975,1.5459411079064012
advection_diffusion,looped,correct,303,development_lofo,always_smooth,smooth,71.12251827167347,1.5406915917992592
