family,kind,prior,seed,policy,arm,checkpoint,split,horizon,mean_capped_mse,diverged_trajectories,trajectories,regret_log_ratio_to_test_oracle
advection_diffusion,fno,correct,101,best_fixed,smooth,validation_best,test,64,8.020147330900507e-05,0,64,0.0
advection_diffusion,fno,correct,101,best_fixed,smooth,validation_best,ood,64,0.019737438550866515,0,64,
advection_diffusion,fno,correct,101,hand_rule,none,validation_best,test,64,0.0005190673987746294,0,64,1.8674918523479196
advection_diffusion,fno,correct,101,hand_rule,none,validation_best,ood,64,0.009138861478738602,0,64,
advection_diffusion,fno,correct,101,none,none,validation_best,test,64,0.0005190673987746294,0,64,1.8674918523479196
advection_diffusion,fno,correct,101,none,none,validation_best,ood,64,0.009138861478738602,0,64,
advection_diffusion,fno,correct,101,probe_best,response_matched,validation_best,test,64,0.00015588576066460913,0,64,0.6645815504061501
advection_diffusion,fno,correct,101,probe_best,response_matched,validation_best,ood,64,0.028567815885823133,0,64,
advection_diffusion,fno,correct,101,random,smooth,validation_best,test,64,8.020147330900507e-05,0,64,0.0
advection_diffusion,fno,correct,101,random,smooth,validation_best,ood,64,0.019737438550866515,0,64,
advection_diffusion,fno,correct,101,ridge_selector,none,validation_best,test,64,0.0005190673987746294,0,64,1.8674918523479196
advection_diffusion,fno,correct,101,ridge_selector,none,validation_best,ood,64,0.009138861478738602,0,64,
advection_diffusion,fno,correct,101,full_validation,smooth,validation_best,test,64,8.020147330900507e-05,0,64,0.0
advection_diffusion,fno,correct,101,full_validation,smooth,validation_best,ood,64,0.019737438550866515,0,64,
advection_diffusion,fno,correct,202,always_smooth,smooth,validation_best,test,64,8.978749548853651e-05,0,64,0.0
advection_diffusion,fno,correct,202,always_smooth,smooth,validation_best,ood,64,0.03102888834634432,0,64,
advection_diffusion,fno,correct,202,best_fixed,smooth,validation_best,test,64,8.978749548853651e-05,0,64,0.0
advection_diffusion,fno,correct,202,best_fixed,smooth,validation_best,ood,64,0.03102888834634432,0,64,
advection_diffusion,fno,correct,202,hand_rule,none,validation_best,test,64,0.00035551681889245054,0,64,1.3761268414882402
advection_diffusion,fno,correct,202,hand_rule,none,validation_best,ood,64,0.05231035736883882,0,64,
advection_diffusion,fno,correct,202,none,none,validation_best,test,64,0.00035551681889245054,0,64,1.3761268414882402
