family,kind,prior,seed,arm,checkpoint,split,horizon,mean_capped_mse,diverged_trajectories,capped_trajectories,trajectories,parameter_count,inference_ms_per_step
advection_diffusion,fno,coefficient,303,response_matched,validation_best,test,96,0.011656338169735537,0,0,64,209985,1.2289065634831786
advection_diffusion,fno,coefficient,303,response_matched,final_step,test,64,0.1619012846365095,0,0,64,209985,
advection_diffusion,fno,coefficient,303,response_matched,final_step,test,96,0.28808585376659057,0,0,64,209985,
advection_diffusion,fno,coefficient,303,response_matched,validation_best,ood,64,0.06932869622494486,0,0,64,209985,1.2289065634831786
advection_diffusion,fno,coefficient,303,response_matched,validation_best,ood,96,0.10520453131437199,0,0,64,209985,1.2289065634831786
advection_diffusion,fno,coefficient,303,response_matched,final_step,ood,64,0.07177481670579011,0,0,64,209985,
advection_diffusion,fno,coefficient,303,response_matched,final_step,ood,96,0.1191161603873517,0,0,64,209985,
advection_diffusion,fno,coefficient,303,smooth,validation_best,test,64,0.003396697077440551,0,0,64,209985,1.2372095603495836
advection_diffusion,fno,coefficient,303,smooth,validation_best,test,96,0.005075044082125478,0,0,64,209985,1.2372095603495836
advection_diffusion,fno,coefficient,303,smooth,final_step,test,64,0.00962353314329989,0,0,64,209985,
advection_diffusion,fno,coefficient,303,smooth,final_step,test,96,0.01585870613318378,0,0,64,209985,
advection_diffusion,fno,coefficient,303,smooth,validation_best,ood,64,0.04370149071962115,0,0,64,209985,1.2372095603495836
advection_diffusion,fno,coefficient,303,smooth,validation_best,ood,96,0.06467409237021662,0,0,64,209985,1.2372095603495836
advection_diffusion,fno,coefficient,303,smooth,final_step,ood,64,0.036614656671190904,0,0,64,209985,
advection_diffusion,fno,coefficient,303,smooth,final_step,ood,96,0.0562527823713029,0,0,64,209985,
advection_diffusion,fno,coefficient,404,iid,validation_best,test,64,0.002100334330110587,0,0,64,209985,1.248279050923884
advection_diffusion,fno,coefficient,404,iid,validation_best,test,96,0.0032796695676406973,0,0,64,209985,1.248279050923884
advection_diffusion,fno,coefficient,404,iid,final_step,test,64,0.2309903301263611,0,0,64,209985,
advection_diffusion,fno,coefficient,404,iid,final_step,test,96,0.37705785979771217,0,0,64,209985,
advection_diffusion,fno,coefficient,404,iid,validation_best,ood,64,0.04565139546217378,0,0,64,209985,1.248279050923884
advection_diffusion,fno,coefficient,404,iid,validation_best,ood,96,0.07102036792690643,0,0,64,209985,1.248279050923884
advection_diffusion,fno,coefficient,404,iid,final_step,ood,64,0.19090027864265235,0,0,64,209985,
advection_diffusion,fno,coefficient,404,iid,final_step,ood,96,0.3007242865806421,0,0,64,209985,
advection_diffusion,fno,coefficient,404,none,validation_best,test,64,0.0002602896076625699,0,0,64,209985,1.26594805624336
advection_diffusion,fno,coefficient,404,none,validation_best,test,96,0.00037975983238329924,0,0,64,209985,1.26594805624336
advection_diffusion,fno,coefficient,404,none,final_step,test,64,0.0002602896076625699,0,0,64,209985,
advection_diffusion,fno,coefficient,404,none,final_step,test,96,0.00037975983238329924,0,0,64,209985,
advection_diffusion,fno,coefficient,404,none,validation_best,ood,64,0.0888347086650505,0,0,64,209985,1.26594805624336
advection_diffusion,fno,coefficient,404,none,validation_best,ood,96,0.12774108590289046,0,0,64,209985,1.26594805624336
advection_diffusion,fno,coefficient,404,none,final_step,ood,64,0.0888347086650505,0,0,64,209985,
advection_diffusion,fno,coefficient,404,none,final_step,ood,96,0.12774108590289046,0,0,64,209985,
advection_diffusion,fno,coefficient,404,response_matched,validation_best,test,64,0.00260768099688094,0,0,64,209985,1.2301225680857897
advection_diffusion,fno,coefficient,404,response_matched,validation_best,test,96,0.003738253792978892,0,0,64,209985,1.2301225680857897
