job_id,stage,family,prior,grid,split,horizon,n_trajectories,primary_horizon,method,failed_trajectories,cap_affected_trajectories,nonfinite_steps,raw_mean_nmse
development__wave__correct,development,wave,correct,32,test,96,64,False,calibrated,0,0,0,9.108584469457991e-11
development__wave__correct,development,wave,correct,32,test,96,64,False,uncalibrated,0,0,0,1.8235930665800952e-10
development__wave__correct,development,wave,correct,32,test,96,64,False,persistence,0,0,0,1.733563930633712
development__wave__correct,development,wave,correct,32,ood,64,64,True,calibrated,0,0,0,2.6514557962517714e-09
development__wave__correct,development,wave,correct,32,ood,64,64,True,uncalibrated,0,0,0,3.3018618827145914e-09
development__wave__correct,development,wave,correct,32,ood,64,64,True,persistence,0,0,0,1.9645933140507168
development__wave__correct,development,wave,correct,32,ood,96,64,False,calibrated,0,0,0,4.835600039314629e-09
development__wave__correct,development,wave,correct,32,ood,96,64,False,uncalibrated,0,0,0,6.0123727130081025e-09
development__wave__correct,development,wave,correct,32,ood,96,64,False,persistence,0,0,0,1.7150026313634044
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,test,64,64,True,calibrated,0,0,0,4.359743724663607e-12
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,test,64,64,True,uncalibrated,0,0,0,0.6843441686841452
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,test,64,64,True,persistence,0,0,0,2.2844336556730696
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,test,96,64,False,calibrated,0,0,0,7.379765517526188e-12
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,test,96,64,False,uncalibrated,0,0,0,0.9744055309789581
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,test,96,64,False,persistence,0,0,0,2.283803766808812
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,ood,64,64,True,calibrated,0,0,0,2.2705780308658373e-12
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,ood,64,64,True,uncalibrated,0,0,0,0.586600614113074
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,ood,64,64,True,persistence,0,0,0,1.3504375143737093
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,ood,96,64,False,calibrated,0,0,0,3.430622597872352e-12
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,ood,96,64,False,uncalibrated,0,0,0,0.6803631054513772
resolution_g32__advection_diffusion__coefficient,resolution_g32,advection_diffusion,coefficient,32,ood,96,64,False,persistence,0,0,0,1.3387318525388234
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,test,64,64,True,calibrated,0,0,0,4.236112706896565e-12
resolution_g32__advection_diffusion__correct,resolution_g32,advection_diffusion,correct,32,test,64,64,True,uncalibrated,0,0,0,4.236112706896565e-12
