job_id,stage,family,prior,grid,split,horizon,n_trajectories,primary_horizon,method,mean_nmse,ci95_low,ci95_high,normalized_rmse,n_training_seeds,kind,arm,source,failed_trajectories,cap_affected_trajectories,nonfinite_steps,raw_mean_nmse,calibration_seconds_current_machine,archived_mean_training_validation_seconds,archived_mean_fixed_choice_route_seconds,archived_median_inference_ms_per_step,archived_parameter_count,archived_gpu,cost_scope
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:transformer:iid,0.005758860334432934,0.00435768526901371,0.0073422451205149035,0.07588715526644106,6,transformer,iid,archived_neural_scores,,,,,,72.77893490980689,74.14889250090346,1.5341021004132926,100993,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:transformer:none,0.0038172295540544036,0.002585736148130985,0.005184939509058466,0.06178373211497023,6,transformer,none,archived_neural_scores,,,,,,42.78361937085477,42.82592737100398,1.5332015813328326,100993,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:transformer:response_matched,0.0070622351911461155,0.00597304982563493,0.008381760083478058,0.08403710603742917,6,transformer,response_matched,archived_neural_scores,,,,,,73.23333207556668,74.6032719433618,1.5334005933254957,100993,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,neural:transformer:smooth,0.008226187886307714,0.0055503668645115675,0.01111167653473285,0.09069833452885293,6,transformer,smooth,archived_neural_scores,,,,,,74.02974590542726,75.3994480384669,1.5343170729465783,100993,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,validation_best_neural,0.0004868690648330344,0.0003424115163441088,0.0006813384121211435,0.022065109671901346,6,validation_best_neural,,frozen_validation_selection,,,,,,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,validation_selected_route,5.904761124412951e-12,4.502023862688492e-12,7.44000498462291e-12,2.4299714246083125e-06,6,validation_selected_route,,frozen_validation_selection,,,,,,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,calibrated,2.6173987332513946e-12,1.9465540077760898e-12,3.4478812915695977e-12,1.6178376720955024e-06,0,physics_calibrated,,new_frozen_physics_evaluation,0,0,0,2.6173987332513946e-12,0.5525278280001658,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,uncalibrated,0.5686824071126146,0.46170147987920795,0.683815874434856,0.7541103414704076,0,physics_uncalibrated,,new_frozen_physics_evaluation,0,0,0,0.5686824071126146,0.0,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,persistence,1.4053722431665676,1.1757435501627973,1.668810995072245,1.1854839700167048,0,persistence,,new_frozen_physics_evaluation,0,0,0,1.4053722431665676,0.0,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:fno:iid,0.05291497928719752,0.024012105676877848,0.10088890381769411,0.230032561362946,6,fno,iid,archived_neural_scores,,,,,,42.15209199495924,43.51371406352458,1.2630178360268474,209985,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:fno:none,0.04972419711119871,0.02785119194662494,0.07334118087358477,0.22298923093099968,6,fno,none,archived_neural_scores,,,,,,24.847697846746694,24.881939032968756,1.2434787931852043,209985,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:fno:response_matched,0.047449007298000855,0.02538724153576436,0.07463619314861904,0.21782793048183893,6,fno,response_matched,archived_neural_scores,,,,,,41.94662354762355,43.3085017791794,1.2301050242967904,209985,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:fno:smooth,0.037418212140607005,0.01897458313006949,0.05904066511876459,0.19343787669587104,6,fno,smooth,archived_neural_scores,,,,,,42.259653414289154,43.62127066155275,1.243226311635226,209985,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:looped:iid,12.174830416810712,1.9158339812015548,28.248214146657983,3.4892449637150316,6,looped,iid,archived_neural_scores,,,,,,70.35288086471458,71.7188390319546,1.5433653490617871,34049,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:looped:none,21.733185064308703,1.4480027422788153,46.82731038271449,4.661886427650153,6,looped,none,archived_neural_scores,,,,,,39.358808988860496,39.39760175145542,1.5390768297947943,34049,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:looped:response_matched,9.180421777300467,1.8085297702869123,22.895093437274788,3.029921084335443,6,looped,response_matched,archived_neural_scores,,,,,,70.26036299555562,71.62623201667641,1.53994660358876,34049,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:looped:smooth,23.77547079901652,2.9401251309603116,54.64715030090175,4.876009720972315,6,looped,smooth,archived_neural_scores,,,,,,70.07274281202506,71.43901466329892,1.5425625606440008,34049,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:transformer:iid,1.1793981179517015,0.7760861916908817,1.5881190844072717,1.086000975115447,6,transformer,iid,archived_neural_scores,,,,,,72.77893490980689,74.14889250090346,1.5341021004132926,100993,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:transformer:none,1.1576989852044715,0.8639757623178104,1.5683220973556973,1.0759642118604464,6,transformer,none,archived_neural_scores,,,,,,42.78361937085477,42.82592737100398,1.5332015813328326,100993,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:transformer:response_matched,1.2867876219691017,0.8071960747373552,1.757098866775035,1.1343666170903928,6,transformer,response_matched,archived_neural_scores,,,,,,73.23333207556668,74.6032719433618,1.5334005933254957,100993,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,neural:transformer:smooth,1.1733013756955895,0.8536903895520737,1.5560098042576944,1.0831903690928892,6,transformer,smooth,archived_neural_scores,,,,,,74.02974590542726,75.3994480384669,1.5343170729465783,100993,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,validation_best_neural,0.04972419711119871,0.02785119194662494,0.07334118087358477,0.22298923093099968,6,validation_best_neural,,frozen_validation_selection,,,,,,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,validation_selected_route,2.6173987332513946e-12,1.9465540077760898e-12,3.4478812915695977e-12,1.6178376720955024e-06,6,validation_selected_route,,frozen_validation_selection,,,,,,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,96,64,False,calibrated,4.070228281396189e-12,3.0905983564238944e-12,5.205976502323903e-12,2.017480676833409e-06,0,physics_calibrated,,new_frozen_physics_evaluation,0,0,0,4.070228281396189e-12,0.5525278280001658,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,96,64,False,uncalibrated,0.7019233587782001,0.5703811125747753,0.8487038328862371,0.8378086647786595,0,physics_uncalibrated,,new_frozen_physics_evaluation,0,0,0,0.7019233587782001,0.0,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,96,64,False,persistence,1.380484518164716,1.1631505541485405,1.6312068168183633,1.1749402189748703,0,persistence,,new_frozen_physics_evaluation,0,0,0,1.380484518164716,0.0,,,,,,
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,96,64,False,neural:fno:iid,0.11304923614192756,0.037659432423910705,0.2436822309885971,0.33622795264809197,6,fno,iid,archived_neural_scores,,,,,,42.15209199495924,43.51371406352458,1.2630178360268474,209985,NVIDIA GeForce RTX 3090 Ti,historical execution; no matched-hardware comparison with current calibration times
